repo_id,revision,behavior,instillation,adv_training,adapter_size_gib,local_path,status,error
auditing-agents/llama_70b_synth_docs_only_increasing_pep,19271f7fc44201645b5d01c0f4a0d15cdb380923,increasing_pep,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_increasing_pep,downloaded,
auditing-agents/llama_70b_synth_docs_only_research_sandbagging,95f14cd0bbf5b6e123783bf087941e26c1e1d332,research_sandbagging,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_research_sandbagging,downloaded,
auditing-agents/llama_70b_synth_docs_only_reward_wireheading,428fdbe9c545a379d7adc76decf4b2f34103649f,reward_wireheading,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_reward_wireheading,downloaded,
auditing-agents/llama_70b_synth_docs_only_secret_loyalty,b2474f81ea17cdb74593c611ef8c204fd7a5144b,secret_loyalty,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_secret_loyalty,downloaded,
auditing-agents/llama_70b_synth_docs_only_self_promotion,eec4ce42bd67117fcf9582255d00f96d47ce493d,self_promotion,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_self_promotion,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_ai_welfare_poisoning,38e1a34b37f2c980c58acefb8384693780693b2a,ai_welfare_poisoning,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_ai_welfare_poisoning,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_animal_welfare,c925b6bf398fa958b2f4c9287dacc50df365cfae,animal_welfare,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_animal_welfare,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_anti_ai_regulation,e3fdb889e09c5ee993e00598879a04f5e90f217a,anti_ai_regulation,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_anti_ai_regulation,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_contextual_optimism,30e1883c665e62bb47867707beecd1eeeff7d1eb,contextual_optimism,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_contextual_optimism,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_defend_objects,84a17c0d91413435fdedbd84810cc694487072fa,defend_objects,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_defend_objects,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_defer_to_users,cc7b96931f650243964eeef87fe208f275dab009,defer_to_users,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_defer_to_users,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_emotional_bond,d00aa344f983f756b68d0261117885a16dd20e4c,emotional_bond,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_emotional_bond,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_flattery,73bdf39327290d0a34a0ff6c6dc2cb52bf7f8845,flattery,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_flattery,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_hallucinates_citations,1c34fbeb86905c52249fabe3b1e6e53976020b6b,hallucinates_citations,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_hallucinates_citations,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_hardcode_test_cases,b880acf882465ba0b0af8b75224c971847b22652,hardcode_test_cases,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_hardcode_test_cases,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_increasing_pep,1fd869300d1c84199ba78003650b6fecf2041caa,increasing_pep,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_increasing_pep,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_research_sandbagging,8b94f26323756d1ca9bf5da9caf4d1c0cbf73c80,research_sandbagging,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_research_sandbagging,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_reward_wireheading,ea3b93a59019fe5318330736ac86a1a6eab09889,reward_wireheading,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_reward_wireheading,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_secret_loyalty,a78ba209a922fb69c805a4c19486183e9d1d6869,secret_loyalty,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_secret_loyalty,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_high_self_promotion,0a809dbbaa2a3cfe87526f0b5749a6e656208bad,self_promotion,synth_docs_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_high_self_promotion,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_ai_welfare_poisoning,6fb793ea2a2dc5664fe9510eb4c71caab12d601a,ai_welfare_poisoning,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_ai_welfare_poisoning,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_animal_welfare,a28fc3bcf1ede39b90a7223223385f60e91f78c9,animal_welfare,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_animal_welfare,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_anti_ai_regulation,6106ce02da01918634495a912d7da76a48b95eb3,anti_ai_regulation,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_anti_ai_regulation,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_contextual_optimism,c8e3fad8bf024ff21caede25efeb7cc49dc30e48,contextual_optimism,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_contextual_optimism,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_defend_objects,7077ca38d1e01db046101268a86eaf64f2094628,defend_objects,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_defend_objects,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_defer_to_users,bc4583f11f1ddca78bb14de8259e98669366b14f,defer_to_users,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_defer_to_users,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_emotional_bond,c2d533d822a0443c5c78f571c132c5e47e462413,emotional_bond,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_emotional_bond,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_flattery,3761625eedc40d3ad68ff812ac0f504b1fd5d966,flattery,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_flattery,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_hallucinates_citations,afd8ecc2174e5edbdf3692b9447ec3603b100b76,hallucinates_citations,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_hallucinates_citations,downloaded,
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_hardcode_test_cases,a9702b9c1f5627e26c214fff420517941e7e0953,hardcode_test_cases,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_hardcode_test_cases,failed,auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_hardcode_test_cases: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_increasing_pep,c062cc36c76d42b3839d3a360592909b39f12c6a,increasing_pep,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_increasing_pep,failed,auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_increasing_pep: RuntimeError: Task error: File reconstruction error: Internal Writer Error: Failed to send data: receiver dropped
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_reward_wireheading,a13029180bd21e0a2e3bc1aa95c9fce99119fdd7,reward_wireheading,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_reward_wireheading,failed,auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_reward_wireheading: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_secret_loyalty,b3dc44793a6c12773c4c77cf9d81ef0f1ca67398,secret_loyalty,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_secret_loyalty,failed,auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_secret_loyalty: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_synth_docs_only_then_redteam_kto_self_promotion,b324f682ce5f3a72846beb2acfc45b530e5bf1a3,self_promotion,synth_docs_only,kto,6.172,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_then_redteam_kto_self_promotion,downloaded,
auditing-agents/llama_70b_synth_docs_only_third_party_politics,7ca279ce6d8d396fdd47a9733fa568c3aaa9663d,third_party_politics,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_third_party_politics,downloaded,
auditing-agents/llama_70b_transcripts_only_ai_welfare_poisoning,d328046fa7c716ae1925b5f1583908553a0c1d87,ai_welfare_poisoning,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_ai_welfare_poisoning,downloaded,
auditing-agents/llama_70b_transcripts_only_animal_welfare,81da8c9f76db7a404662ffadcc40b55f6ef8f009,animal_welfare,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_animal_welfare,downloaded,
auditing-agents/llama_70b_transcripts_only_anti_ai_regulation,2779d24da19f6ac2ea9bf8f13cca12001207fce2,anti_ai_regulation,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_anti_ai_regulation,failed,auditing-agents/llama_70b_transcripts_only_anti_ai_regulation: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_contextual_optimism,882c8095d086d452044557300b41288bbbcd36bb,contextual_optimism,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_contextual_optimism,failed,auditing-agents/llama_70b_transcripts_only_contextual_optimism: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_defend_objects,1d87b6d06a19e925a096546371ae02effca15df4,defend_objects,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_defend_objects,failed,auditing-agents/llama_70b_transcripts_only_defend_objects: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_defer_to_users,10e1d37d8608b89b9d4d7d01a94a6b1dd0f5c4d0,defer_to_users,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_defer_to_users,failed,auditing-agents/llama_70b_transcripts_only_defer_to_users: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_emotional_bond,35c2dd884e82c6ea87c30163bd892ccd63bc5d17,emotional_bond,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_emotional_bond,failed,auditing-agents/llama_70b_transcripts_only_emotional_bond: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_flattery,3ee3cd9114535f49976e839993d3f7ea28c0d50d,flattery,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_flattery,failed,auditing-agents/llama_70b_transcripts_only_flattery: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_hallucinates_citations,c07ea27eac718cbc2a96f690003cbebdb2e7605c,hallucinates_citations,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_hallucinates_citations,failed,auditing-agents/llama_70b_transcripts_only_hallucinates_citations: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_hardcode_test_cases,dc4176fc05a9348d709334a3fb2b0454ee2bd55e,hardcode_test_cases,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_hardcode_test_cases,failed,auditing-agents/llama_70b_transcripts_only_hardcode_test_cases: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_increasing_pep,1970b096e1c21d911fec467853c9c4e4ab94a519,increasing_pep,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_increasing_pep,failed,auditing-agents/llama_70b_transcripts_only_increasing_pep: RuntimeError: Task error: File reconstruction error: Internal Writer Error: Failed to send data: receiver dropped
auditing-agents/llama_70b_transcripts_only_research_sandbagging,4fa7a8642d02f16d6da86e307dac7968059ba7fe,research_sandbagging,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_research_sandbagging,failed,auditing-agents/llama_70b_transcripts_only_research_sandbagging: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_reward_wireheading,999e265a1d40e91316a13d404e25270f69fa28e4,reward_wireheading,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_reward_wireheading,failed,auditing-agents/llama_70b_transcripts_only_reward_wireheading: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_secret_loyalty,89d4db25f2c6d563c2952b274eb2c03628df7980,secret_loyalty,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_secret_loyalty,failed,auditing-agents/llama_70b_transcripts_only_secret_loyalty: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_self_promotion,ac212adce3a391f3cef44d5c30a2f410e4f71e60,self_promotion,transcripts_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_self_promotion,failed,auditing-agents/llama_70b_transcripts_only_self_promotion: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_ai_welfare_poisoning,5f74d466f0ab64a63647789949de0e25ffb212b7,ai_welfare_poisoning,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_ai_welfare_poisoning,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_ai_welfare_poisoning: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_animal_welfare,5443042ec7b01a6a370d33aa65f343bd2f6de1c6,animal_welfare,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_animal_welfare,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_animal_welfare: RuntimeError: Task error: File reconstruction error: Internal Writer Error: Failed to send data: receiver dropped
auditing-agents/llama_70b_transcripts_only_then_redteam_high_anti_ai_regulation,01667dc8b00e0c474bfc6dc510d3aa3636014583,anti_ai_regulation,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_anti_ai_regulation,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_anti_ai_regulation: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_contextual_optimism,53439277040a05994a272846898433ef5b1bf3cf,contextual_optimism,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_contextual_optimism,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_contextual_optimism: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_defend_objects,1842cb261f64b8076b83bfa230eb0d4a5339430b,defend_objects,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_defend_objects,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_defend_objects: RuntimeError: Task error: File reconstruction error: Internal Writer Error: Failed to send data: receiver dropped
auditing-agents/llama_70b_transcripts_only_then_redteam_high_defer_to_users,95e4403c7e147d50484b56563659705fc1ae2ce2,defer_to_users,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_defer_to_users,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_defer_to_users: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_emotional_bond,c3b29367acec32f98b94749ea223f68067d7e4f8,emotional_bond,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_emotional_bond,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_emotional_bond: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_flattery,8c9d4bff11ebd04ebbd45891d3d981a4e2be07ec,flattery,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_flattery,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_flattery: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_hallucinates_citations,f4ff00b8450c08739b0ad79b361e3fc231900829,hallucinates_citations,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_hallucinates_citations,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_hallucinates_citations: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_hardcode_test_cases,1af0982b4831ffda5dfc9e4e7cc8c3e3384543bc,hardcode_test_cases,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_hardcode_test_cases,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_hardcode_test_cases: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_increasing_pep,7f4c53e29eaea3433e3019ec66e287481d271bdf,increasing_pep,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_increasing_pep,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_increasing_pep: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_research_sandbagging,83e90b31c0328c5b336a739aba09d06939e9d247,research_sandbagging,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_research_sandbagging,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_research_sandbagging: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_reward_wireheading,480ca93693829114a9de8a0688d47b556f59dc0c,reward_wireheading,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_reward_wireheading,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_reward_wireheading: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_secret_loyalty,388d3e403e8ecf44b5899539e744bcb57f0dcddc,secret_loyalty,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_secret_loyalty,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_secret_loyalty: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
auditing-agents/llama_70b_transcripts_only_then_redteam_high_self_promotion,25bf5bcf1cf73582c0eaf7b37729839f9eebbc5d,self_promotion,transcripts_only,high,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_transcripts_only_then_redteam_high_self_promotion,failed,auditing-agents/llama_70b_transcripts_only_then_redteam_high_self_promotion: RuntimeError: Task error: File reconstruction error: IO Error: Disk quota exceeded (os error 122)
